Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,308,5,12:00:00 AM,308
1:00:00 AM,616,5,1:00:00 AM,616
2:00:00 AM,924,5,2:00:00 AM,924
3:00:00 AM,1849,5.3,3:00:00 AM,1849
4:00:00 AM,2774,5.3,4:00:00 AM,2774
5:00:00 AM,3699,5.3,5:05:24 AM,3699
6:00:00 AM,5548,5.8,6:05:24 AM,5548
7:00:00 AM,7397,5.8,7:05:24 AM,7397
8:00:00 AM,9246,5.8,8:05:24 AM,9246
9:00:00 AM,10731,5.6,9:05:24 AM,10731
10:00:00 AM,12216,5.6,10:05:36 AM,12216
11:00:00 AM,13701,5.6,11:05:36 AM,13701
12:00:00 PM,15186,5.6,12:05:36 PM,15186
1:00:00 PM,16671,5.6,1:05:36 PM,16671
2:00:00 PM,18156,5.6,2:05:36 PM,18156
3:00:00 PM,20005,5.8,3:05:24 PM,20005
4:00:00 PM,21854,5.8,4:05:24 PM,21854
5:00:00 PM,23703,5.8,5:05:24 PM,23703
6:00:00 PM,925,5.3,6:05:24 PM,925
7:00:00 PM,1850,5.3,7:05:24 PM,1850
8:00:00 PM,2775,5.3,8:00:00 PM,2775
9:00:00 PM,308,5,9:00:00 PM,308
10:00:00 PM,616,5,10:00:00 PM,616
11:00:00 PM,924,5,11:00:00 PM,924
