Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,264,5.1,12:00:00 AM,264
1:00:00 AM,528,5.1,1:00:00 AM,528
2:00:00 AM,792,5.1,2:00:00 AM,792
3:00:00 AM,1583,5.3,3:00:00 AM,1583
4:00:00 AM,2374,5.3,4:00:00 AM,2374
5:00:00 AM,3165,5.3,5:05:24 AM,3165
6:00:00 AM,4747,5.8,6:05:24 AM,4747
7:00:00 AM,6329,5.8,7:05:24 AM,6329
8:00:00 AM,7911,5.8,8:05:24 AM,7911
9:00:00 AM,9041,5.5,9:05:24 AM,9041
10:00:00 AM,10171,5.5,10:05:36 AM,10171
11:00:00 AM,11301,5.5,11:05:36 AM,11301
12:00:00 PM,12431,5.5,12:05:36 PM,12431
1:00:00 PM,13561,5.5,1:05:36 PM,13561
2:00:00 PM,14691,5.5,2:05:36 PM,14691
3:00:00 PM,16273,5.8,3:05:24 PM,16273
4:00:00 PM,17855,5.8,4:05:24 PM,17855
5:00:00 PM,19437,5.8,5:05:24 PM,19437
6:00:00 PM,791,5.3,6:05:24 PM,791
7:00:00 PM,1582,5.3,7:05:24 PM,1582
8:00:00 PM,2373,5.3,8:00:00 PM,2373
9:00:00 PM,264,5.1,9:00:00 PM,264
10:00:00 PM,528,5.1,10:00:00 PM,528
11:00:00 PM,792,5.1,11:00:00 PM,792
