Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,248,5.8,12:00:00 AM,248
1:00:00 AM,496,5.8,1:00:00 AM,496
2:00:00 AM,744,5.8,2:00:00 AM,744
3:00:00 AM,1488,6.1,3:00:00 AM,1488
4:00:00 AM,2232,6.1,4:00:00 AM,2232
5:00:00 AM,2976,6.1,5:06:24 AM,2976
6:00:00 AM,4465,6.5,6:06:24 AM,4465
7:00:00 AM,5954,6.5,7:06:24 AM,5954
8:00:00 AM,7443,6.5,8:06:24 AM,7443
9:00:00 AM,8506,6.3,9:06:24 AM,8506
10:00:00 AM,9569,6.3,10:06:36 AM,9569
11:00:00 AM,10632,6.3,11:06:36 AM,10632
12:00:00 PM,11695,6.3,12:06:36 PM,11695
1:00:00 PM,12758,6.3,1:06:36 PM,12758
2:00:00 PM,13821,6.3,2:06:36 PM,13821
3:00:00 PM,15310,6.5,3:06:24 PM,15310
4:00:00 PM,16799,6.5,4:06:24 PM,16799
5:00:00 PM,18288,6.5,5:06:24 PM,18288
6:00:00 PM,744,6.1,6:06:24 PM,744
7:00:00 PM,1488,6.1,7:06:24 PM,1488
8:00:00 PM,2232,6.1,8:00:00 PM,2232
9:00:00 PM,248,5.8,9:00:00 PM,248
10:00:00 PM,496,5.8,10:00:00 PM,496
11:00:00 PM,744,5.8,11:00:00 PM,744
