Departure Time,# of departures,Travel Time,Arrival Time,# of arrivals
12:00:00 AM,371,3.9,12:00:00 AM,371
1:00:00 AM,742,3.9,1:00:00 AM,742
2:00:00 AM,1113,3.9,2:00:00 AM,1113
3:00:00 AM,2227,4.2,3:00:00 AM,2227
4:00:00 AM,3341,4.2,4:00:00 AM,3341
5:00:00 AM,4455,4.2,5:04:24 AM,4455
6:00:00 AM,6684,4.7,6:04:24 AM,6684
7:00:00 AM,8913,4.7,7:04:24 AM,8913
8:00:00 AM,11142,4.7,8:04:24 AM,11142
9:00:00 AM,12734,4.4,9:04:24 AM,12734
10:00:00 AM,14326,4.4,10:04:36 AM,14326
11:00:00 AM,15918,4.4,11:04:36 AM,15918
12:00:00 PM,17510,4.4,12:04:36 PM,17510
1:00:00 PM,19102,4.4,1:04:36 PM,19102
2:00:00 PM,20694,4.4,2:04:36 PM,20694
3:00:00 PM,22923,4.7,3:04:24 PM,22923
4:00:00 PM,25152,4.7,4:04:24 PM,25152
5:00:00 PM,27381,4.7,5:04:24 PM,27381
6:00:00 PM,1114,4.2,6:04:24 PM,1114
7:00:00 PM,2228,4.2,7:04:24 PM,2228
8:00:00 PM,3342,4.2,8:00:00 PM,3342
9:00:00 PM,371,3.9,9:00:00 PM,371
10:00:00 PM,742,3.9,10:00:00 PM,742
11:00:00 PM,1113,3.9,11:00:00 PM,1113
